test,stratum,chamber,label,group,congress,committee_n,n_D,n_R,n_I,chamber_n,committee_median,chamber_median,displacement,abs_displacement,ci_lo,ci_hi,outlier,p_value
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,106,27,13,14,0,102,0.068,0.135,-0.067,0.067,0.003,0.262,FALSE,0.5823417658234177
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,107,28,15,13,0,101,-0.2265,0.003,-0.2295,0.2295,-0.2255,0.047,TRUE,0.022997700229977002
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,108,29,14,15,0,100,0.068,0.0795,-0.011499999999999996,0.011499999999999996,0.003,0.239,FALSE,1
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,109,28,13,15,0,101,0.14350000000000002,0.185,-0.04149999999999998,0.04149999999999998,0.035500000000000004,0.28600000000000003,FALSE,0.6612338766123388
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,110,29,15,14,0,102,-0.03,0.019000000000000003,-0.049,0.049,-0.205,-0.03,FALSE,1
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,111,30,17,13,0,111,-0.201,-0.205,0.003999999999999976,0.003999999999999976,-0.2415,-0.1075,FALSE,0.8571142885711429
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,112,30,16,14,0,102,-0.1145,-0.156,0.041499999999999995,0.041499999999999995,-0.214,-0.0435,FALSE,0.5168483151684832
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,113,30,16,14,0,105,-0.201,-0.193,-0.008000000000000007,0.008000000000000007,-0.223,-0.088,FALSE,0.8725127487251275
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,114,30,14,16,0,100,0.1635,0.286,-0.12249999999999997,0.12249999999999997,0.1635,0.3725,FALSE,0.08539146085391461
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,115,32,15,17,0,105,0.1635,0.285,-0.12149999999999997,0.12149999999999997,0.1635,0.3825,FALSE,0.09469053094690531
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,116,31,15,16,0,102,0.124,0.2855,-0.16149999999999998,0.16149999999999998,0.124,0.371,FALSE,0.2947705229477052
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,117,30,15,15,0,102,0.0335,0.0335,0,0,-0.0495,0.155,FALSE,1
stratified_primary,overall,Senate,Senate Budget,not_predicted,103,21,12,9,0,102,-0.214,-0.1435,-0.07050000000000001,0.07050000000000001,-0.268,-0.095,FALSE,0.26407359264073593
stratified_primary,overall,Senate,Senate Budget,not_predicted,104,25,11,14,0,103,0.257,0.084,0.173,0.173,0.056,0.287,FALSE,0.11558844115588442
stratified_primary,overall,Senate,Senate Budget,not_predicted,105,22,10,12,0,100,0.14150000000000001,0.153,-0.011499999999999982,0.011499999999999982,0.041,0.2995,FALSE,0.8781121887811218
stratified_primary,overall,Senate,Senate Budget,not_predicted,106,22,10,12,0,102,0.14150000000000001,0.135,0.006500000000000006,0.006500000000000006,0.0085,0.288,FALSE,0.934006599340066
stratified_primary,overall,Senate,Senate Budget,not_predicted,107,23,12,11,0,101,-0.193,0.003,-0.196,0.196,-0.231,0.146,FALSE,0.17748225177482252
stratified_primary,overall,Senate,Senate Budget,not_predicted,108,23,11,12,0,100,0.257,0.0795,0.1775,0.1775,0.003,0.28,FALSE,0.050994900509949
stratified_primary,overall,Senate,Senate Budget,not_predicted,109,23,11,12,0,101,0.257,0.185,0.07200000000000001,0.07200000000000001,0.003,0.304,FALSE,0.6185381461853815
stratified_primary,overall,Senate,Senate Budget,not_predicted,110,23,11,11,1,102,-0.193,0.019000000000000003,-0.21200000000000002,0.21200000000000002,-0.25,-0.03,FALSE,0.2084791520847915
stratified_primary,overall,Senate,Senate Budget,not_predicted,111,23,12,10,1,111,-0.215,-0.205,-0.010000000000000009,0.010000000000000009,-0.267,-0.057,FALSE,0.6659334066593341
stratified_primary,overall,Senate,Senate Budget,not_predicted,112,24,11,12,1,102,0.07899999999999999,-0.156,0.235,0.235,-0.056999999999999995,0.1495,FALSE,0.18718128187181282
stratified_primary,overall,Senate,Senate Budget,not_predicted,113,22,10,10,2,105,-0.181,-0.193,0.01200000000000001,0.01200000000000001,-0.20700000000000002,-0.088,FALSE,0.7297270272972702
stratified_primary,overall,Senate,Senate Budget,not_predicted,114,22,8,12,2,100,0.3565,0.286,0.07050000000000001,0.07050000000000001,0.1635,0.387,FALSE,0.3321667833216678
stratified_primary,overall,Senate,Senate Budget,not_predicted,115,25,9,14,2,105,0.367,0.285,0.08200000000000002,0.08200000000000002,0.203,0.402,FALSE,0.42415758424157585
stratified_primary,overall,Senate,Senate Budget,not_predicted,116,21,9,11,1,102,0.362,0.2855,0.07650000000000001,0.07650000000000001,0.124,0.401,FALSE,0.5521447855214479
stratified_primary,overall,Senate,Senate Budget,not_predicted,117,20,10,9,1,102,-0.2245,0.0335,-0.258,0.258,-0.279,-0.081,FALSE,0.20887911208879112
stratified_primary,overall,Senate,Senate Finance,not_predicted,103,20,11,9,0,102,-0.1325,-0.1435,0.010999999999999982,0.010999999999999982,-0.254,-0.041,FALSE,0.9064093590640936
stratified_primary,overall,Senate,Senate Finance,not_predicted,104,22,9,13,0,103,0.1585,0.084,0.0745,0.0745,0.0735,0.3075249999999996,FALSE,0.6335366463353664
stratified_primary,overall,Senate,Senate Finance,not_predicted,105,20,9,11,0,100,0.049,0.153,-0.104,0.104,0.041,0.3105,FALSE,0.20477952204779523
stratified_primary,overall,Senate,Senate Finance,not_predicted,106,21,9,12,0,102,0.084,0.135,-0.051000000000000004,0.051000000000000004,0.014,0.311,FALSE,0.7835216478352165
stratified_primary,overall,Senate,Senate Finance,not_predicted,107,21,10,11,0,101,0.014,0.003,0.011,0.011,0.003,0.287,FALSE,0.8196180381961804
stratified_primary,overall,Senate,Senate Finance,not_predicted,108,21,9,11,1,100,0.091,0.0795,0.011499999999999996,0.011499999999999996,0.003,0.28,FALSE,1
stratified_primary,overall,Senate,Senate Finance,not_predicted,109,19,8,11,0,101,0.192,0.185,0.007000000000000006,0.007000000000000006,0.068,0.361,FALSE,0.9119088091190881
stratified_primary,overall,Senate,Senate Finance,not_predicted,110,23,11,12,0,102,0.091,0.019000000000000003,0.072,0.072,0.068,0.31,FALSE,0.7621237876212379
stratified_primary,overall,Senate,Senate Finance,not_predicted,111,24,14,10,0,111,-0.186,-0.205,0.01899999999999999,0.01899999999999999,-0.2620125,-0.118,FALSE,0.5070492950704929
stratified_primary,overall,Senate,Senate Finance,not_predicted,112,24,13,11,0,102,-0.186,-0.156,-0.03,0.03,-0.22749999999999998,-0.0435,FALSE,0.7164283571642835
stratified_primary,overall,Senate,Senate Finance,not_predicted,113,26,15,11,0,105,-0.2025,-0.193,-0.009500000000000008,0.009500000000000008,-0.259,-0.131,FALSE,0.7827217278272173
stratified_primary,overall,Senate,Senate Finance,not_predicted,114,26,12,14,0,100,0.3665,0.286,0.08050000000000002,0.08050000000000002,0.1635,0.379,FALSE,0.22597740225977403
stratified_primary,overall,Senate,Senate Finance,not_predicted,115,27,13,14,0,105,0.362,0.285,0.07700000000000001,0.07700000000000001,0.124,0.382,FALSE,0.6065393460653935
stratified_primary,overall,Senate,Senate Finance,not_predicted,116,29,13,16,0,102,0.371,0.2855,0.08550000000000002,0.08550000000000002,0.203,0.402,FALSE,0.17748225177482252
stratified_primary,overall,Senate,Senate Finance,not_predicted,117,28,14,14,0,102,0.0915,0.0335,0.057999999999999996,0.057999999999999996,-0.0495,0.155,FALSE,0.37846215378462156
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,103,16,9,7,0,102,-0.242,-0.1435,-0.0985,0.0985,-0.272,-0.052000000000000005,FALSE,0.10228977102289771
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,104,17,7,10,0,103,0.219,0.084,0.135,0.135,0.056,0.322,FALSE,0.41345865413458655
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,105,16,7,9,0,100,0.2405,0.153,0.0875,0.0875,0.049,0.3345,FALSE,0.33956604339566043
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,106,16,7,9,0,102,0.2405,0.135,0.10549999999999998,0.10549999999999998,0.035500000000000004,0.321,FALSE,0.28257174282571745
stratified_primary,overall,Senate,Senate Rules & Administration,not_predicted,107,19,10,9,0,101,-0.123,0.003,-0.126,0.126,-0.256,0.146,FALSE,0.718028197180282
