chamber,label,group,congress,committee_n,chamber_n,committee_median,chamber_median,displacement,abs_displacement,ci_lo,ci_hi,outlier,p_value
House,House Agriculture,predicted,103,53,443,-0.103,-0.165,0.06200000000000001,0.06200000000000001,-0.272,0.155,FALSE,0.3812618738126187
House,House Agriculture,predicted,104,50,445,0.3065,0.178,0.1285,0.1285,-0.2375,0.313,FALSE,0.3628637136286371
House,House Agriculture,predicted,105,50,444,0.29000000000000004,0.158,0.13200000000000003,0.13200000000000003,-0.2835125,0.327,FALSE,0.46125387461253875
House,House Agriculture,predicted,106,52,440,0.26549999999999996,0.135,0.13049999999999995,0.13049999999999995,-0.2875,0.318,FALSE,0.5047495250474953
House,House Agriculture,predicted,107,52,444,0.287,0.158,0.12899999999999998,0.12899999999999998,-0.29,0.322,FALSE,0.4904509549045096
House,House Agriculture,predicted,108,53,440,0.265,0.211,0.05400000000000002,0.05400000000000002,-0.288,0.329,FALSE,0.6117388261173883
House,House Agriculture,predicted,109,48,439,0.2705,0.229,0.04150000000000001,0.04150000000000001,-0.2835,0.337,FALSE,0.624937506249375
House,House Agriculture,predicted,110,48,449,-0.11249999999999999,-0.155,0.04250000000000001,0.04250000000000001,-0.308,0.299,FALSE,0.7394260573942606
House,House Agriculture,predicted,111,49,448,-0.11,-0.184,0.074,0.074,-0.309,0.259,FALSE,0.3892610738926107
House,House Agriculture,predicted,112,47,445,0.335,0.269,0.066,0.066,-0.289,0.387,FALSE,0.4276572342765723
House,House Agriculture,predicted,113,49,444,0.306,0.2585,0.04749999999999999,0.04749999999999999,-0.296,0.398,FALSE,0.6031396860313969
House,House Agriculture,predicted,114,45,441,0.335,0.292,0.04300000000000004,0.04300000000000004,-0.282,0.427,FALSE,0.6222377762223777
House,House Agriculture,predicted,115,43,450,0.279,0.28049999999999997,-0.0014999999999999458,0.0014999999999999458,-0.289,0.434,FALSE,1
House,House Agriculture,predicted,116,49,449,-0.148,-0.194,0.04600000000000001,0.04600000000000001,-0.316,0.379,FALSE,0.6324367563243676
House,House Agriculture,predicted,117,49,455,-0.169,-0.164,-0.0050000000000000044,0.0050000000000000044,-0.311,0.392,FALSE,0.9624037596240376
House,House Armed Services,predicted,103,56,443,-0.11699999999999999,-0.165,0.048000000000000015,0.048000000000000015,-0.271,0.14203749999999946,FALSE,0.4814518548145185
House,House Armed Services,predicted,104,54,445,0.235,0.178,0.056999999999999995,0.056999999999999995,-0.22551249999999998,0.30252499999999966,FALSE,0.6125387461253875
House,House Armed Services,predicted,105,61,444,0.238,0.158,0.07999999999999999,0.07999999999999999,-0.271,0.316,FALSE,0.6059394060593941
House,House Armed Services,predicted,106,60,440,0.235,0.135,0.09999999999999998,0.09999999999999998,-0.28,0.31,FALSE,0.6287371262873712
House,House Armed Services,predicted,107,63,444,0.238,0.158,0.07999999999999999,0.07999999999999999,-0.271,0.315,FALSE,0.6763323667633236
House,House Armed Services,predicted,108,63,440,0.211,0.211,0,0,-0.267,0.32,FALSE,1
House,House Armed Services,predicted,109,62,439,0.235,0.229,0.005999999999999978,0.005999999999999978,-0.2685,0.3275,FALSE,0.9299070092990701
House,House Armed Services,predicted,110,66,449,-0.108,-0.155,0.047,0.047,-0.294,0.278,FALSE,0.6636336366363363
House,House Armed Services,predicted,111,66,448,-0.111,-0.184,0.073,0.073,-0.2955,0.22,FALSE,0.31016898310168983
